Series Data									
E:\WA2114\WA2114_000_000_CUR.PD0									
Broadband 614.4 kHz									
Pings/Ens =	180								
Time/Ping = 00:01.00									
First Ensemble Date = 14/10/31									
First Ensemble Time = 07:00:00.00									
Ensemble Interval (s) = 	600								
1st Bin Range (m) = 	2.12								
Bin Size (m) =	1								


Ens	YR	MO	DA	HH	MM	SS	HH		Dep
									m


416	14	11	3	4	10	0	0		27.758
417	14	11	3	4	20	0	0		27.678
418	14	11	3	4	30	0	0		27.608
419	14	11	3	4	40	0	0		27.547
420	14	11	3	4	50	0	0		27.475
421	14	11	3	5	0	0	0		27.417
422	14	11	3	5	10	0	0		27.361
423	14	11	3	5	20	0	0		27.303
424	14	11	3	5	30	0	0		27.256
425	14	11	3	5	40	0	0		27.216
426	14	11	3	5	50	0	0		27.171
427	14	11	3	6	0	0	0		27.138
428	14	11	3	6	10	0	0		27.114
429	14	11	3	6	20	0	0		27.093
430	14	11	3	6	30	0	0		27.074
431	14	11	3	6	40	0	0		27.058
432	14	11	3	6	50	0	0		27.047
433	14	11	3	7	0	0	0		27.034
434	14	11	3	7	10	0	0		27.065
435	14	11	3	7	20	0	0		27.065
436	14	11	3	7	30	0	0		27.084
437	14	11	3	7	40	0	0		27.108
438	14	11	3	7	50	0	0		27.136
439	14	11	3	8	0	0	0		27.176
440	14	11	3	8	10	0	0		27.213
441	14	11	3	8	20	0	0		27.251
442	14	11	3	8	30	0	0		27.301
443	14	11	3	8	40	0	0		27.363
444	14	11	3	8	50	0	0		27.421
445	14	11	3	9	0	0	0		27.493
446	14	11	3	9	10	0	0		27.56
447	14	11	3	9	20	0	0		27.621
448	14	11	3	9	30	0	0		27.697
449	14	11	3	9	40	0	0		27.76
450	14	11	3	9	50	0	0		27.834
451	14	11	3	10	0	0	0		27.904
452	14	11	3	10	10	0	0		27.988
453	14	11	3	10	20	0	0		28.066
454	14	11	3	10	30	0	0		28.138
455	14	11	3	10	40	0	0		28.236
456	14	11	3	10	50	0	0		28.304
457	14	11	3	11	0	0	0		28.382
458	14	11	3	11	10	0	0		28.452
459	14	11	3	11	20	0	0		28.526
460	14	11	3	11	30	0	0		28.599
461	14	11	3	11	40	0	0		28.66
462	14	11	3	11	50	0	0		28.721
463	14	11	3	12	0	0	0		28.761
464	14	11	3	12	10	0	0		28.808
465	14	11	3	12	20	0	0		28.86
466	14	11	3	12	30	0	0		28.885
467	14	11	3	12	40	0	0		28.924
468	14	11	3	12	50	0	0		28.937
469	14	11	3	13	0	0	0		28.944
470	14	11	3	13	10	0	0		28.948
471	14	11	3	13	20	0	0		28.944
472	14	11	3	13	30	0	0		28.942
473	14	11	3	13	40	0	0		28.92
474	14	11	3	13	50	0	0		28.901
475	14	11	3	14	0	0	0		28.867
476	14	11	3	14	10	0	0		28.831
477	14	11	3	14	20	0	0		28.785
478	14	11	3	14	30	0	0		28.728
479	14	11	3	14	40	0	0		28.674
480	14	11	3	14	50	0	0		28.618
481	14	11	3	15	0	0	0		28.556
482	14	11	3	15	10	0	0		28.472
483	14	11	3	15	20	0	0		28.402
484	14	11	3	15	30	0	0		28.32
485	14	11	3	15	40	0	0		28.24
486	14	11	3	15	50	0	0		28.153
487	14	11	3	16	0	0	0		28.084
488	14	11	3	16	10	0	0		28.003
489	14	11	3	16	20	0	0		27.912
490	14	11	3	16	30	0	0		27.835
491	14	11	3	16	40	0	0		27.75
492	14	11	3	16	50	0	0		27.676
493	14	11	3	17	0	0	0		27.611
494	14	11	3	17	10	0	0		27.524
495	14	11	3	17	20	0	0		27.461
496	14	11	3	17	30	0	0		27.396
497	14	11	3	17	40	0	0		27.342
498	14	11	3	17	50	0	0		27.29
499	14	11	3	18	0	0	0		27.242
500	14	11	3	18	10	0	0		27.202
501	14	11	3	18	20	0	0		27.177
502	14	11	3	18	30	0	0		27.137
503	14	11	3	18	40	0	0		27.116
504	14	11	3	18	50	0	0		27.091
505	14	11	3	19	0	0	0		27.076
506	14	11	3	19	10	0	0		27.063
507	14	11	3	19	20	0	0		27.063
508	14	11	3	19	30	0	0		27.073
509	14	11	3	19	40	0	0		27.081
510	14	11	3	19	50	0	0		27.094
511	14	11	3	20	0	0	0		27.129
512	14	11	3	20	10	0	0		27.162
513	14	11	3	20	20	0	0		27.201
514	14	11	3	20	30	0	0		27.238
515	14	11	3	20	40	0	0		27.297
516	14	11	3	20	50	0	0		27.363
517	14	11	3	21	0	0	0		27.418
518	14	11	3	21	10	0	0		27.48
519	14	11	3	21	20	0	0		27.549
520	14	11	3	21	30	0	0		27.63
521	14	11	3	21	40	0	0		27.701
522	14	11	3	21	50	0	0		27.77
523	14	11	3	22	0	0	0		27.845
524	14	11	3	22	10	0	0		27.93
525	14	11	3	22	20	0	0		28.024
526	14	11	3	22	30	0	0		28.105
527	14	11	3	22	40	0	0		28.189
528	14	11	3	22	50	0	0		28.275
529	14	11	3	23	0	0	0		28.357
530	14	11	3	23	10	0	0		28.434
531	14	11	3	23	20	0	0		28.53
532	14	11	3	23	30	0	0		28.611
533	14	11	3	23	40	0	0		28.678
534	14	11	3	23	50	0	0		28.749
535	14	11	4	0	0	0	0		28.824
536	14	11	4	0	10	0	0		28.877
537	14	11	4	0	20	0	0		28.923
538	14	11	4	0	30	0	0		28.981
539	14	11	4	0	40	0	0		29.01
540	14	11	4	0	50	0	0		29.041
541	14	11	4	1	0	0	0		29.074
542	14	11	4	1	10	0	0		29.089
543	14	11	4	1	20	0	0		29.093
544	14	11	4	1	30	0	0		29.089
545	14	11	4	1	40	0	0		29.096
546	14	11	4	1	50	0	0		29.075
547	14	11	4	2	0	0	0		29.06
548	14	11	4	2	10	0	0		29.019
549	14	11	4	2	20	0	0		28.981
550	14	11	4	2	30	0	0		28.941
551	14	11	4	2	40	0	0		28.872
552	14	11	4	2	50	0	0		28.822
553	14	11	4	3	0	0	0		28.758
554	14	11	4	3	10	0	0		28.694
555	14	11	4	3	20	0	0		28.612
556	14	11	4	3	30	0	0		28.549
557	14	11	4	3	40	0	0		28.461
558	14	11	4	3	50	0	0		28.38
559	14	11	4	4	0	0	0		28.286
